x,AccuLevel,DetectorLoad,ModuleLoad,AccuControl,AccuTsat
-6.86,39.26,0.106,0.044,-10.393,-24.068
0.11,39.259,0.106,0.056,-10.308,-24.052
0.57,39.259,0.106,0.056,-10.303,-24.05
1.48,39.259,0.106,0.058,-10.294,-24.048
4.07,39.258,0.107,0.062,-10.27,-24.042
32.37,39.253,0.108,0.101,-9.432,-23.977
41.82,39.252,0.108,0.109,-6.92,-23.957
54.4,39.25,0.108,0.117,-6.311,-23.934
62.31,39.249,0.109,0.12,-7.627,-23.922
66.96,39.248,0.109,0.122,-8.062,-23.916
85.84,39.245,0.11,0.125,-6.844,-23.898
112.56,39.24,0.111,0.125,-7.947,-23.9
131.41,39.237,0.111,0.123,-9.203,-23.923
134.86,39.237,0.112,0.123,-9.127,-23.929
162.86,39.232,0.113,0.122,-8.099,-24.003
170.78,39.231,0.113,0.122,-8.239,-24.028
183.29,39.229,0.114,0.123,-8.783,-24.071
208.44,39.224,0.115,0.127,-7.603,-24.158
228.89,39.221,0.115,0.129,-6.842,-24.22
243.03,39.219,0.116,0.128,-8.022,-24.255
249.31,39.218,0.116,0.127,-8.44,-24.267
260.38,39.216,0.117,0.123,-9.151,-24.283
261.88,39.216,0.117,0.122,-9.239,-24.284
276.02,39.214,0.117,0.113,-9.886,-24.291
279.59,39.213,0.117,0.11,-10.048,-24.29
294.89,39.211,0.118,0.096,-9.962,-24.275
309.05,39.208,0.118,0.083,-7.907,-24.247
310.61,39.208,0.119,0.081,-9.239,-24.243
315.34,39.207,0.119,0.077,-7.145,-24.231
335.78,39.204,0.119,0.058,-7.716,-24.169
343.63,39.203,0.12,0.052,-8.782,-24.143
349.98,39.202,0.12,0.048,-8.989,-24.121
359.34,39.201,0.12,0.042,-9.01,-24.088
379.78,39.197,0.121,0.036,-8.971,-24.021
389.21,39.196,0.122,0.035,-9.771,-23.994
397.06,39.195,0.122,0.035,-10.988,-23.973
401.77,39.194,0.122,0.036,-12.168,-23.963
429.32,39.19,0.123,0.046,-12.186,-23.926
430.06,39.19,0.123,0.046,-12.168,-23.926
430.07,39.19,0.123,0.046,-11.559,-23.926
434.86,39.189,0.123,0.048,-11.176,-23.925
444.22,39.188,0.124,0.054,-10.683,-23.928
455.23,39.186,0.124,0.061,-9.846,-23.939
474.1,39.183,0.125,0.077,-9.047,-23.972
497.68,39.18,0.126,0.1,-8.742,-24.029
519.75,39.177,0.127,0.126,-8.974,-24.089
529.12,39.176,0.127,0.138,-9.198,-24.115
554.26,39.172,0.128,0.171,-9.959,-24.182
569.99,39.17,0.129,0.189,-9.198,-24.219
582.57,39.169,0.129,0.199,-8.551,-24.244
593.64,39.167,0.13,0.202,-8.977,-24.264
596.71,39.167,0.13,0.202,-9.045,-24.269
608.98,39.165,0.13,0.188,-8.936,-24.287
612.43,39.165,0.13,0.182,-9.007,-24.291
625,39.163,0.131,0.157,-9.958,-24.303
637.59,39.162,0.131,0.138,-8.969,-24.313
647.02,39.161,0.132,0.128,-8.207,-24.317
648.66,39.16,0.132,0.127,-8.243,-24.318
664.31,39.159,0.132,0.118,-9.082,-24.322
672.17,39.158,0.133,0.115,-9.729,-24.323
678.44,39.157,0.133,0.114,-10.719,-24.323
680,39.157,0.133,0.113,-12.317,-24.323
698.86,39.155,0.134,0.112,-13.23,-24.318
709.86,39.154,0.134,0.113,-14.105,-24.314
722.44,39.153,0.135,0.115,-13.306,-24.306
727.16,39.152,0.135,0.116,-12.659,-24.303
733.46,39.152,0.135,0.118,-11.517,-24.298
753.98,39.15,0.136,0.128,-10.823,-24.28
757.04,39.15,0.136,0.13,-10.528,-24.277
760.2,39.149,0.136,0.133,-8.739,-24.273
785.34,39.147,0.137,0.155,-10.071,-24.241
791.64,39.147,0.137,0.157,-9.576,-24.232
809,39.146,0.138,0.129,-9.595,-24.203
828.57,39.145,0.139,0.06,-9.671,-24.163
848.23,39.144,0.14,0.049,-9.537,-24.112
857.09,39.144,0.14,0.11,-9.008,-24.083
860.81,39.144,0.217,0.166,-8.015,-24.069
860.87,39.144,0.218,0.167,-8.013,-24.069
864.02,39.144,0.284,0.248,-8.108,-24.056
866.99,39.144,0.571,0.373,-8.326,-24.043
867.98,39.144,0.811,0.433,-8.412,-24.039
868.98,39.144,1.435,0.511,-8.506,-24.035
868.98,39.144,1.77,0.511,-8.506,-24.034
868.99,39.144,2.082,0.511,-8.506,-24.034
869.97,39.144,1.123,0.613,-8.604,-24.03
871.96,39.144,2.465,1.132,-8.825,-24.02
871.96,39.144,2.897,1.135,-8.826,-24.02
872.19,39.144,2.979,1.547,-8.853,-24.019
872.95,39.144,3.257,2.412,-8.95,-24.015
873.47,39.144,3.39,2.984,-9.021,-24.013
874.95,39.144,3.772,3.636,-9.27,-24.005
875.93,39.144,4.024,3.686,-9.97,-24
876.62,39.144,4.281,3.707,-10.011,-23.996
877.92,39.144,4.767,3.731,-10.064,-23.989
878.09,39.144,4.793,3.734,-10.07,-23.988
883.86,39.144,5.654,3.756,-10.22,-23.954
884.86,39.144,6.11,3.754,-10.242,-23.948
884.86,39.144,6.637,3.754,-10.242,-23.948
885.86,39.144,7.237,3.752,-10.263,-23.941
893.78,39.144,7.237,3.724,-10.417,-23.888
898.63,39.144,7.258,3.707,-10.504,-23.853
904.67,39.144,7.285,3.693,-10.61,-23.81
906.39,39.144,7.277,3.691,-10.64,-23.797
