x,AccuLevel,DetectorLoad,AccuControl,Setpoint,AccuTsat
0.11,39.2595,0.107,-10.3071,,-24.051
0.57,39.2619,0.1096,-10.3,,-24.0473
1.48,39.2669,0.1147,-10.2859,,-24.04
4.08,39.2808,0.1292,-10.2469,,-24.0194
32.43,39.4336,0.2877,-9.2519,,-23.7964
41.9,39.4846,0.3407,-6.6875,,-23.7244
54.5,39.5525,0.4112,-6.0085,,-23.6316
67.09,39.6203,0.4815,-7.6891,,-23.5433
86,39.7222,0.5873,-6.366,,-23.4209
112.76,39.8664,0.7369,-7.3208,,-23.2737
131.65,39.9682,0.8426,-8.4715,,-23.1918
135.12,39.9868,0.8619,-8.3763,,-23.179
163.16,40.1379,1.0187,-7.1926,,-23.0968
183.63,40.2483,1.1332,-7.7637,,-23.0516
208.83,40.3841,1.2742,-6.4437,,-22.9984
229.31,40.4945,1.3887,-5.5686,,-22.9471
243.48,40.5709,1.4679,-6.6696,,-22.9028
249.78,40.6049,1.5031,-7.0532,,-22.8801
262.37,40.6728,1.5735,-7.7823,,-22.8275
276.54,40.7492,1.6528,-8.3504,,-22.7554
280.11,40.7685,1.6727,-8.4923,,-22.7347
295.44,40.8511,1.7584,-8.3214,,-22.6345
309.63,40.9277,1.8378,-6.1874,,-22.5277
311.19,40.9361,1.8465,-7.5106,,-22.5152
315.93,40.9617,1.873,-5.3912,,-22.4767
336.4,41.0722,1.9875,-5.8481,,-22.3011
344.27,41.1146,2.0315,-6.8699,,-22.231
360.01,41.1997,2.1195,-7.0106,,-22.0891
380.49,41.3102,2.234,-6.8587,,-21.9082
389.93,41.3612,2.2868,-7.6053,,-21.8283
397.8,41.4037,2.3308,-8.7793,,-21.7644
402.51,41.4292,2.3572,-9.9329,,-21.7275
430.12,41.5783,2.5115,-9.7976,,-21.5376
430.86,41.5824,2.5157,-9.7751,,-21.5332
430.87,41.5824,2.5157,-9.1662,,-21.5332
445.05,41.659,2.595,-8.212,,-21.4571
456.08,41.7187,2.6567,-7.3134,,-21.4068
474.98,41.8209,2.7624,-6.409,,-21.3343
498.61,41.9488,2.8945,-5.9731,,-21.26
530.1,42.1193,3.0707,-6.2546,,-21.1718
555.3,42.2558,3.2115,-6.8755,,-21.0983
571.05,42.3412,3.2996,-6.0267,,-21.0476
583.65,42.4096,3.3701,-5.3096,,-21.0035
597.82,42.4864,3.4494,-5.7255,,-20.9495
610.11,42.5531,3.5181,-5.5486,,-20.8986
613.57,42.5719,3.5374,-5.5999,,-20.8836
626.17,42.6403,3.6078,-6.4812,,-20.8263
638.77,42.7088,3.6783,-5.4216,,-20.7656
648.23,42.7602,3.7312,-4.6079,,-20.7179
665.54,42.8544,3.828,-5.3868,,-20.6266
673.41,42.8973,3.8721,-5.99,,-20.5835
679.71,42.9315,3.9072,-6.9444,,-20.5484
681.27,42.94,3.916,-8.5341,,-20.5396
700.16,43.043,4.0216,-9.3423,,-20.4304
711.18,43.1031,4.0832,-10.1563,,-20.3645
723.79,43.1718,4.1537,-9.287,,-20.2873
728.52,43.1977,4.1802,-8.6137,,-20.2578
734.82,43.2321,4.2154,-7.4369,,-20.218
758.45,43.3613,4.3476,-6.316,,-20.0649
761.62,43.3786,4.3653,-4.5098,,-20.0439
786.81,43.5166,4.5061,-5.7016,,-19.872
793.11,43.5511,4.5414,-5.1718,,-19.8277
830.11,43.7545,4.7483,-5.0611,,-19.5537
849.8,43.8631,4.8584,-4.8183,,-19.3931
858.68,43.9122,4.908,-4.2398,,-19.3147
862.42,43.9328,5.0062,-3.2258,,-19.2801
865.63,43.9506,5.0905,-3.3012,,-19.2494
868.61,43.9671,5.3948,-3.5025,,-19.2202
869.6,43.9726,5.6401,-3.5837,,-19.2102
870.6,43.9781,6.2689,-3.6714,,-19.2002
870.6,43.9781,6.6046,-3.6716,,-19.2001
870.6,43.9781,6.9163,-3.6718,,-19.2001
871.59,43.9836,5.9628,-3.7646,,-19.1901
873.58,43.9946,7.3164,-3.9743,,-19.1694
