x,AccuLevel,DetectorLoad,ModuleLoad,AccuControl,Setpoint,AccuTsat
-6.86,39.26,0.106,0.044,-10.393,,-23.361
0.12,39.259,0.106,0.056,-10.308,,-23.357
0.57,39.259,0.106,0.056,-10.303,,-23.357
1.48,39.259,0.106,0.058,-10.294,,-23.356
4.07,39.258,0.107,0.062,-10.27,,-23.354
32.37,39.253,0.108,0.101,-9.432,,-23.336
41.82,39.252,0.108,0.109,-6.92,,-23.331
54.4,39.25,0.108,0.117,-6.311,,-23.324
62.31,39.249,0.109,0.12,-7.627,,-23.319
66.96,39.248,0.109,0.122,-8.062,,-23.317
85.84,39.245,0.11,0.125,-6.844,,-23.308
112.56,39.24,0.111,0.125,-7.947,,-23.299
131.41,39.237,0.111,0.123,-9.203,,-23.295
136.12,39.236,0.112,0.123,-9.087,,-23.295
162.86,39.232,0.113,0.122,-8.099,,-23.295
170.77,39.231,0.113,0.122,-8.239,,-23.295
183.29,39.229,0.114,0.123,-8.783,,-23.297
208.44,39.224,0.115,0.127,-7.603,,-23.302
228.89,39.221,0.115,0.129,-6.842,,-23.308
243.03,39.219,0.116,0.128,-8.022,,-23.312
249.31,39.218,0.116,0.127,-8.44,,-23.314
260.38,39.216,0.117,0.123,-9.151,,-23.317
261.88,39.216,0.117,0.122,-9.239,,-23.318
276.02,39.214,0.117,0.113,-9.886,,-23.322
280.85,39.213,0.117,0.109,-10.099,,-23.324
294.89,39.211,0.118,0.096,-9.962,,-23.328
309.05,39.208,0.118,0.083,-7.907,,-23.331
310.61,39.208,0.119,0.081,-9.239,,-23.332
315.34,39.207,0.119,0.077,-7.145,,-23.333
335.78,39.204,0.12,0.058,-7.716,,-23.337
343.63,39.203,0.12,0.052,-8.782,,-23.339
349.98,39.202,0.12,0.048,-8.988,,-23.34
359.34,39.201,0.12,0.042,-9.01,,-23.342
379.78,39.197,0.121,0.036,-8.971,,-23.346
389.21,39.196,0.122,0.035,-9.771,,-23.347
397.06,39.195,0.122,0.036,-10.988,,-23.348
401.77,39.194,0.122,0.036,-12.168,,-23.349
430.06,39.19,0.123,0.046,-12.168,,-23.352
430.07,39.19,0.123,0.046,-11.559,,-23.352
430.57,39.19,0.123,0.046,-12.152,,-23.352
434.86,39.189,0.123,0.048,-11.176,,-23.353
444.22,39.188,0.124,0.054,-10.683,,-23.353
455.23,39.186,0.124,0.061,-9.846,,-23.354
474.1,39.183,0.125,0.077,-9.046,,-23.355
497.68,39.18,0.126,0.1,-8.742,,-23.355
519.75,39.177,0.127,0.126,-8.974,,-23.353
529.12,39.176,0.127,0.138,-9.198,,-23.352
554.26,39.172,0.128,0.171,-9.959,,-23.346
569.99,39.17,0.129,0.189,-9.198,,-23.341
582.57,39.169,0.129,0.2,-8.551,,-23.336
593.64,39.167,0.13,0.202,-8.977,,-23.331
596.71,39.167,0.13,0.202,-9.045,,-23.329
611.48,39.165,0.13,0.183,-8.973,,-23.32
612.43,39.165,0.13,0.182,-9.007,,-23.319
625,39.163,0.131,0.157,-9.958,,-23.31
637.59,39.162,0.131,0.138,-8.969,,-23.3
647.02,39.161,0.132,0.128,-8.207,,-23.292
648.66,39.161,0.132,0.127,-8.243,,-23.29
664.31,39.159,0.132,0.118,-9.082,,-23.275
672.17,39.158,0.133,0.115,-9.729,,-23.267
678.44,39.157,0.133,0.114,-10.719,,-23.261
680,39.157,0.133,0.113,-12.317,,-23.259
698.86,39.155,0.134,0.112,-13.23,,-23.24
709.86,39.154,0.134,0.113,-14.105,,-23.229
722.44,39.153,0.135,0.115,-13.306,,-23.216
727.16,39.152,0.135,0.116,-12.659,,-23.211
733.46,39.152,0.135,0.118,-11.517,,-23.205
753.97,39.15,0.136,0.128,-10.823,,-23.187
757.04,39.15,0.136,0.13,-10.528,,-23.184
760.2,39.149,0.136,0.133,-8.739,,-23.182
782.41,39.148,0.137,0.153,-9.878,,-23.167
785.34,39.148,0.137,0.155,-10.071,,-23.165
791.63,39.147,0.137,0.157,-9.576,,-23.163
809,39.146,0.138,0.129,-9.595,,-23.157
848.22,39.144,0.14,0.05,-9.537,,-23.154
857.09,39.144,0.14,0.11,-9.007,,-23.154
860.81,39.144,0.217,0.166,-8.015,,-23.154
860.87,39.144,0.218,0.167,-8.013,,-23.154
864.02,39.144,0.284,0.248,-8.108,,-23.154
866.99,39.144,0.571,0.373,-8.326,,-23.154
867.98,39.144,0.811,0.433,-8.412,,-23.154
868.98,39.144,1.435,0.511,-8.506,,-23.154
868.98,39.144,1.77,0.511,-8.506,,-23.154
868.98,39.144,2.082,0.511,-8.506,,-23.154
869.97,39.144,1.123,0.613,-8.604,,-23.154
871.96,39.144,2.466,1.132,-8.825,,-23.154
871.96,39.144,2.897,1.135,-8.826,,-23.154
872.18,39.144,2.979,1.547,-8.853,,-23.154
872.95,39.144,3.257,2.412,-8.95,,-23.154
873.47,39.144,3.39,2.984,-9.021,,-23.154
874.95,39.144,3.772,3.636,-9.27,,-23.154
875.93,39.144,4.024,3.686,-9.97,,-23.154
876.62,39.144,4.281,3.707,-10.011,,-23.153
877.92,39.144,4.767,3.731,-10.064,,-23.153
878.09,39.144,4.793,3.734,-10.07,,-23.153
883.86,39.144,5.654,3.756,-10.22,,-23.153
884.85,39.144,6.11,3.754,-10.242,,-23.153
884.86,39.144,6.637,3.754,-10.242,,-23.153
885.85,39.144,7.237,3.752,-10.263,,-23.152
893.78,39.144,7.237,3.724,-10.417,,-23.151
898.63,39.144,7.258,3.707,-10.504,,-23.15
904.67,39.144,7.285,3.693,-10.61,,-23.148
906.38,39.144,7.277,3.691,-10.64,,-23.147
914.24,39.144,7.244,3.685,-10.564,,-23.144
927.45,39.145,7.189,3.692,-10.116,,-23.136
928.39,39.145,7.189,3.693,-10.084,,-23.135
934.68,39.145,7.189,3.702,-9.841,,-23.13
937.92,39.146,7.189,3.707,-9.661,,-23.127
942.54,39.146,7.189,3.716,-9.574,,-23.123
944.28,39.146,7.189,3.719,-9.675,,-23.121
958.26,39.148,7.278,3.746,-10.678,,-23.107
963.1,39.149,7.309,3.753,-11.039,,-23.101
963.77,39.149,7.307,3.754,-11.091,,-23.1
973.97,39.15,7.272,3.763,-12.047,,-23.088
981.82,39.152,7.245,3.758,-13.57,,-23.078
983.89,39.153,7.238,3.754,-13.915,,-23.075
986.66,39.153,7.243,3.746,-14.3,,-23.071
994.38,39.155,7.259,3.703,-15.244,,-23.061
995.78,39.156,7.262,3.692,-15.411,,-23.06
999.48,39.405,7.282,3.664,-15.859,,-23.055
1004.69,39.159,7.31,3.658,-16.503,,-23.048
1007.79,39.16,8.283,3.739,-16.904,,-23.044
1010.64,39.161,9.18,3.946,-17.294,,-23.04
1012.61,39.162,7.909,4.176,-17.584,,-23.037
1012.62,39.162,8.173,4.176,-17.584,,-23.037
1012.62,39.162,8.748,4.177,-17.585,,-23.037
1012.63,39.162,9.923,4.178,-17.586,,-23.037
1012.63,39.162,10.546,4.178,-17.586,,-23.037
1012.64,39.162,11.314,4.179,-17.587,,-23.037
1013.22,39.163,11.519,4.261,-17.679,,-23.037
1014.62,39.163,12.009,4.479,-17.917,,-23.035
1016.53,39.164,13.001,4.812,-18.31,,-23.032
1016.59,39.164,13.032,4.822,-18.324,,-23.032
1019.5,39.166,14.986,5.378,-19.163,,-23.028
1021.25,39.167,16.161,5.916,-19.507,,-23.026
1021.5,39.786,16.323,6.034,-19.544,,-23.026
1024.41,39.169,18.276,7.4,-19.877,,-23.022
1026.07,39.17,19.388,7.699,-20.006,,-23.02
1027.65,39.846,21.633,7.975,-20.103,,-23.018
1027.68,39.846,24.601,7.979,-20.104,,-23.018
1027.69,39.846,26.428,7.981,-20.105,,-23.018
1030.5,39.882,28.324,8.933,-20.229,,-23.015
1030.71,39.885,28.465,9.074,-20.236,,-23.014
1030.85,39.887,28.559,9.182,-20.241,,-23.014
1030.86,39.887,30.805,9.195,-20.242,,-23.014
1030.88,39.887,32.403,9.205,-20.242,,-23.014
1033,39.92,33.198,13.222,-20.303,,-23.012
1034.03,39.938,33.583,13.914,-20.327,,-23.01
1038.15,40.033,33.593,14.713,-20.384,,-23.005
1043.51,40.205,33.607,15.977,-20.378,,-22.999
1048.77,40.293,33.62,17.024,-20.245,,-22.993
1050.94,40.319,33.625,17.177,-20.115,,-22.991
1058.81,40.405,33.645,17.277,-18.973,,-22.982
1063.95,40.471,33.658,17.299,-19.093,,-22.977
1077.66,40.734,33.692,17.326,-19.429,,-22.964
1079.61,40.779,33.697,17.328,-19.319,,-22.963
1084.38,40.89,33.705,17.331,-18.606,,-22.959
1088.68,40.986,33.713,17.334,-18.173,,-22.955
1093.09,41.08,33.72,17.336,-18.306,,-22.952
1098.53,41.195,33.729,17.337,-18.842,,-22.948
1104.38,41.325,33.739,17.338,-19.924,,-22.945
1110.65,41.482,33.75,17.338,-23.006,,-22.941
1112.68,41.537,33.753,17.338,-23.475,,-22.94
1123.21,41.871,33.771,17.338,-25.213,,-22.935
1125.2,41.953,33.774,17.337,-26.001,,-22.934
1125.26,41.956,33.774,17.337,-26.036,,-22.934
1129.48,42.268,33.775,17.337,-27.459,,-22.932
1129.98,42.299,33.776,17.337,-27.539,,-22.932
1147.28,43.06,33.781,17.333,-28.811,,-22.926
1156.19,43.308,33.784,17.331,-28.98,,-22.924
1164.57,43.479,33.787,17.329,-28.948,,-22.922
1177.15,43.783,33.791,17.326,-28.665,,-22.921
1192.36,44.156,33.796,17.322,-28.029,,-22.92
1192.87,44.164,33.796,17.322,-28.001,,-22.92
1204.95,44.283,33.8,17.319,-26.354,,-22.921
1211.25,44.348,33.802,17.317,-24.147,,-22.922
1211.74,44.355,33.802,17.317,-24.131,,-22.922
1215.81,44.418,33.803,17.316,-24.073,,-22.922
1233.75,44.697,33.8,17.311,-24.307,,-22.926
1244.26,44.779,33.799,17.309,-24.451,,-22.93
1252.12,44.824,33.797,17.307,-23.499,,-22.933
1266.28,44.911,33.795,17.304,-22.319,,-22.939
1268.33,44.926,33.794,17.303,-21.939,,-22.941
1277.31,45.007,33.793,17.301,-19.275,,-22.946
1282.73,45.066,33.792,17.3,-18.228,,-22.95
1291.47,45.18,33.79,17.299,-17.029,,-22.957
1296.63,45.269,33.79,17.298,-16.306,,-22.962
1307.21,45.384,33.788,17.296,-15.012,,-22.973
1310.78,45.383,33.787,17.295,-14.66,,-22.977
1333.94,45.298,33.783,17.291,-12.767,,-23.008
1342.22,45.307,33.782,17.29,-12.186,,-23.02
1357.53,45.305,33.779,17.288,-11.358,,-23.04
1367.37,45.308,33.777,17.287,-11.061,,-23.051
1373.26,45.309,33.776,17.286,-10.711,,-23.056
1379.56,45.311,33.775,17.285,-9.075,,-23.061
1392.53,45.314,33.773,17.284,-8.259,,-23.07
1398.42,45.316,33.772,17.283,-8.313,,-23.072
1409.42,45.319,33.77,17.282,-9.493,,-23.076
1426.72,45.323,33.767,17.281,-7.97,,-23.08
1461.31,45.331,33.761,17.279,-7.323,,-23.081
1475.47,45.334,33.759,17.279,-6.029,,-23.081
1479.23,45.335,33.758,17.279,-5.844,,-23.08
1494.33,45.338,33.761,17.278,-5.8,,-23.079
1499.53,45.339,33.762,17.278,-5.991,,-23.078
1513.2,45.342,33.765,17.278,-6.333,,-23.077
1558.78,45.352,33.773,17.279,-6.294,,-23.07
1577.19,45.356,33.777,17.28,-6.051,,-23.068
1583.94,45.357,33.778,17.281,-5.799,,-23.067
1602.81,45.361,33.782,17.282,-5.114,,-23.064
1645.24,45.369,33.79,17.285,-5.647,,-23.061
1667.25,45.373,33.794,17.286,-6.484,,-23.06
1689.25,45.377,33.798,17.289,-7.244,,-23.059
1708.1,45.38,33.801,17.29,-8.843,,-23.06
1730.1,45.384,33.805,17.293,-9.68,,-23.062
1750.56,45.386,33.809,17.295,-10.335,,-23.064
1758.1,45.387,33.811,17.296,-10.369,,-23.066
1758.39,45.387,33.811,17.296,-10.364,,-23.066
1769.8,45.388,33.813,17.297,-9.787,,-23.068
1778.84,45.389,33.814,17.298,-9.298,,-23.07
1800.84,45.389,33.819,17.301,-9.983,,-23.075
1813.41,45.388,33.821,17.303,-10.782,,-23.078
1833.85,45.383,33.825,17.306,-10.325,,-23.083
1855.85,45.379,33.829,17.309,-11.353,,-23.088
1887.29,45.379,33.834,17.313,-10.629,,-23.093
1918.73,45.38,33.84,17.318,-10.895,,-23.094
1926.54,45.381,33.842,17.319,-10.937,,-23.094
1951.74,45.384,33.846,17.323,-10.895,,-23.092
1986.33,45.388,33.853,17.328,-11.123,,-23.086
2010.31,45.391,33.857,17.332,-11.306,,-23.081
2016.19,45.392,33.858,17.333,-11.427,,-23.08
2027.84,45.393,33.86,17.335,-12.381,,-23.078
2028.76,45.394,33.86,17.336,-12.569,,-23.078
2033.46,45.394,33.859,17.336,-14.319,,-23.077
2036.6,45.395,33.859,17.337,-15.194,,-23.076
2060.18,45.398,33.855,17.341,-14.89,,-23.072
2072.76,45.4,33.853,17.343,-13.862,,-23.069
2074.36,45.401,33.852,17.343,-10.97,,-23.069
2086.93,45.403,33.85,17.346,-10.893,,-23.067
2121.52,45.408,33.845,17.352,-10.703,,-23.063
2146.13,45.412,33.841,17.356,-10.419,,-23.061
2146.67,45.413,33.84,17.356,-10.398,,-23.061
2168.68,45.416,33.837,17.36,-9.903,,-23.061
2185.97,45.419,33.834,17.363,-11.539,,-23.062
2185.98,45.419,33.834,17.363,-9.37,,-23.062
2217.42,45.425,33.829,17.369,-9.56,,-23.065
2239.42,45.429,33.825,17.373,-9.674,,-23.068
2272.43,45.435,33.819,17.379,-9.521,,-23.073
2291.3,45.439,33.816,17.383,-9.635,,-23.077
2296.01,45.44,33.816,17.384,-10.206,,-23.077
2297.2,45.44,33.815,17.384,-10.489,,-23.078
2303.86,45.441,33.817,17.385,-11.119,,-23.079
2321.15,45.445,33.82,17.389,-11.652,,-23.082
2325.86,45.446,33.821,17.39,-13.174,,-23.082
2343.14,45.449,33.824,17.393,-14.696,,-23.085
2358.87,45.452,33.827,17.396,-12.983,,-23.087
2366.74,45.454,33.828,17.398,-11.385,,-23.088
2376.19,45.456,33.83,17.399,-8.645,,-23.089
2379.44,45.456,33.83,17.4,-8.639,,-23.089
2410.77,45.463,33.836,17.406,-9.9,,-23.091
2429.63,45.467,33.84,17.41,-9.101,,-23.091
2446.92,45.47,33.843,17.413,-10.471,,-23.091
2462.65,45.474,33.846,17.416,-8.682,,-23.091
2487.81,45.479,33.85,17.421,-8.377,,-23.09
2495.68,45.481,33.852,17.423,-7.083,,-23.089
2514.53,45.485,33.855,17.427,-7.996,,-23.088
2531.82,45.489,33.858,17.43,-8.643,,-23.088
2552.26,45.494,33.862,17.434,-8.148,,-23.087
2566.4,45.497,33.865,17.437,-8.985,,-23.086
2574.48,45.499,33.866,17.439,-8.688,,-23.086
2588.41,45.502,33.861,17.441,-8.186,,-23.086
2605.69,45.506,33.854,17.445,-9.67,,-23.086
2609.02,45.507,33.853,17.446,-9.985,,-23.086
2619.83,45.509,33.848,17.448,-11.154,,-23.087
2627.68,45.511,33.845,17.449,-13.285,,-23.087
2638.69,45.514,33.841,17.452,-11.801,,-23.088
2659.14,45.519,33.833,17.456,-9.707,,-23.089
2668.58,45.522,33.829,17.457,-8.261,,-23.09
2692.15,45.528,33.82,17.462,-9.288,,-23.092
2709.44,45.532,33.813,17.466,-9.897,,-23.094
2717.3,45.534,33.81,17.467,-10.696,,-23.096
2739.31,45.54,33.801,17.472,-10.201,,-23.099
2750.32,45.543,33.797,17.474,-9.326,,-23.1
2762.9,45.547,33.792,17.476,-8.793,,-23.102
2792.77,45.555,33.78,17.482,-8.755,,-23.107
2810.16,45.561,33.773,17.486,-8.694,,-23.11
2825.77,45.566,33.777,17.489,-8.754,,-23.112
2836.09,45.569,33.779,17.491,-9.182,,-23.114
2841.49,45.571,33.781,17.492,-9.629,,-23.115
2857.21,45.576,33.785,17.495,-10.2,,-23.117
2876.08,45.583,33.789,17.498,-9.21,,-23.12
2887.09,45.587,33.792,17.501,-8.639,,-23.122
2898.48,45.591,33.795,17.503,-9.7,,-23.124
2904.36,45.593,33.796,17.504,-10.352,,-23.124
2915.35,45.598,33.799,17.506,-12.064,,-23.126
2916.92,45.599,33.799,17.506,-13.434,,-23.126
2940.51,45.61,33.805,17.511,-11.341,,-23.129
2951.53,45.615,33.808,17.513,-10.161,,-23.131
2964.12,45.623,33.811,17.515,-8.296,,-23.133
2977.08,45.744,33.814,17.518,-9.071,,-23.134
2993.97,45.752,33.818,17.521,-10.084,,-23.136
3014.16,45.75,33.823,17.525,-8.737,,-23.139
3017.56,45.749,33.827,17.525,-8.486,,-23.139
3046.95,45.746,33.856,17.531,-8.225,,-23.142
3049,45.746,33.858,17.531,-8.219,,-23.142
3076.11,45.745,33.885,17.536,-7.976,,-23.142
3089.87,45.747,33.898,17.538,-8.104,,-23.139
3115.03,45.749,33.923,17.543,-8.104,,-23.114
3127.68,45.727,33.936,17.545,2.514,,-23.086
3135.67,45.672,33.943,17.546,20.895,,-23.06
3135.85,45.67,33.944,17.546,21.583,,-23.059
3137.38,45.653,33.945,17.547,39.771,,-23.053
3137.54,45.651,33.945,17.547,61.996,,-23.052
3139.08,45.633,33.947,17.547,57.353,,-23.046
3140.61,45.612,33.948,17.547,52.254,,-23.039
3140.71,45.611,33.948,17.547,66.563,,-23.038
3140.73,45.611,33.948,17.547,68.466,,-23.038
